Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
M1,9.299998mm,4.949998mm,Top,0.0,9.299998mm,4.949998mm
M2,9.299998mm,15.999997mm,Top,0.0,9.299998mm,15.999997mm
