Designator,Mid X,Mid Y,Layer,Rotation
R244,34.599998mm,17.799997mm,Top,270.0
R243,33.399998000000004mm,17.799997mm,Top,270.0
R242,32.199998mm,17.799997mm,Top,270.0
R241,30.999997999999998mm,17.799997mm,Top,270.0
R240,34.599998mm,18.799997mm,Top,90.0
R239,33.399998000000004mm,18.799997mm,Top,90.0
R238,32.199998mm,18.799997mm,Top,90.0
R237,30.999997999999998mm,18.799997mm,Top,90.0
R235,29.799998000000002mm,17.799997mm,Top,90.0
R234,28.599998mm,17.799997mm,Top,90.0
R233,27.399998000000004mm,17.799997mm,Top,90.0
R232,26.199998mm,17.799997mm,Top,90.0
R231,29.799998000000002mm,18.799997mm,Top,270.0
R230,28.599998mm,18.799997mm,Top,270.0
R229,27.399998000000004mm,18.799997mm,Top,270.0
R228,26.199998mm,18.799997mm,Top,270.0
R226,24.999997999999998mm,17.799997mm,Top,270.0
R225,23.799998000000002mm,17.799997mm,Top,270.0
R224,22.599998mm,17.799997mm,Top,270.0
R223,21.399998mm,17.799997mm,Top,270.0
R222,24.999997999999998mm,18.799997mm,Top,90.0
R221,23.799998000000002mm,18.799997mm,Top,90.0
R220,22.599998mm,18.799997mm,Top,90.0
R219,21.399998mm,18.799997mm,Top,90.0
R218,23.199998mm,18.849997000000002mm,Bottom,0.0
R217,20.199998mm,17.799997mm,Top,270.0
R216,18.999997999999998mm,17.799997mm,Top,270.0
R215,17.799998000000002mm,17.799997mm,Top,270.0
R214,16.599998mm,17.799997mm,Top,270.0
R213,20.229998000000002mm,18.799997mm,Top,90.0
R212,18.999997999999998mm,18.799997mm,Top,90.0
R211,17.799998000000002mm,18.799997mm,Top,90.0
R210,16.599998mm,18.799997mm,Top,90.0
R208,15.399998mm,17.799997mm,Top,270.0
R207,14.199998mm,17.799997mm,Top,270.0
R206,12.999998000000001mm,17.799997mm,Top,270.0
R205,11.799998mm,17.799997mm,Top,270.0
R204,15.399998mm,18.799997mm,Top,90.0
R203,14.199998mm,18.799997mm,Top,90.0
R202,12.999998000000001mm,18.799997mm,Top,90.0
R201,11.799998mm,18.799997mm,Top,90.0
R142,21.700098mm,23.199997mm,Bottom,0.0
P106,33.199998mm,31.599997000000002mm,Top,270.0
P105,24.499997999999998mm,31.799997mm,Top,270.0
P104,28.799998000000002mm,31.499997mm,Top,270.0
P201,45.469998000000004mm,17.299997mm,Top,90.0
P200,10.499998mm,16.799997mm,Top,90.0
P103,37.999998mm,31.499997mm,Top,180.0
P102,40.899998000000004mm,31.499997mm,Top,180.0
P101,43.899998000000004mm,31.499997mm,Top,180.0
P100,45.199998mm,32.699996999999996mm,Top,180.0
J100,37.175098mm,44.352997mm,Bottom,0.0
D100,13.425198000000002mm,42.665497mm,Bottom,180.0
D205,49.099998mm,32.449996999999996mm,Top,90.0
D207,42.399998000000004mm,21.599997000000002mm,Top,180.0
D206,37.599998mm,21.599997000000002mm,Top,180.0
D204,32.799998mm,21.599997000000002mm,Top,180.0
D203,27.999997999999998mm,21.599997000000002mm,Top,180.0
D201,18.399998mm,21.599997000000002mm,Top,180.0
D200,13.599998mm,21.599997000000002mm,Top,180.0
D116,19.749997999999998mm,34.399997mm,Top,180.0
D115,15.549998mm,34.399997mm,Top,180.0
D114,19.749997999999998mm,36.199996999999996mm,Top,180.0
D113,15.549998mm,36.199996999999996mm,Top,180.0
D112,19.749997999999998mm,37.999997mm,Top,180.0
D111,15.549998mm,37.999997mm,Top,180.0
D110,19.749997999999998mm,39.799997000000005mm,Top,180.0
D109,15.549998mm,39.799997000000005mm,Top,180.0
D202,23.199998mm,21.599997000000002mm,Top,180.0
C143,46.499998000000005mm,20.699997mm,Top,270.0
C144,47.699998mm,20.699997mm,Top,90.0
C145,48.899998000000004mm,20.699997mm,Top,270.0
C146,50.099998mm,20.699997mm,Top,270.0
C112,19.899998mm,32.699996999999996mm,Top,0.0
C111,13.399998mm,32.799997000000005mm,Top,90.0
C123,28.800098mm,45.899997mm,Bottom,90.0
C117,46.949998mm,39.949996999999996mm,Bottom,270.0
C105,13.299998mm,45.599997mm,Bottom,180.0
C100,10.799998mm,45.599997mm,Bottom,0.0
C285,17.983098mm,24.799997mm,Bottom,0.0
C280,21.316997999999998mm,24.799997mm,Bottom,180.0
C275,11.682998000000001mm,24.799997mm,Bottom,0.0
C270,15.016998000000001mm,24.799997mm,Bottom,180.0
C229,45.300098000000006mm,17.799997mm,Bottom,270.0
C224,10.499998mm,18.399997mm,Top,90.0
C223,10.499998mm,22.649997mm,Top,90.0
C222,10.499998mm,20.349997000000002mm,Bottom,90.0
C221,45.399998000000004mm,19.699997mm,Top,90.0
C220,28.000098mm,23.899997mm,Bottom,180.0
C230,40.599998mm,21.699997mm,Bottom,270.0
C231,41.800098000000006mm,21.699997mm,Bottom,270.0
C232,42.999998000000005mm,21.699997mm,Bottom,270.0
C225,35.800098mm,21.699997mm,Bottom,270.0
C226,36.999998mm,21.699997mm,Bottom,270.0
C227,38.200098mm,21.699997mm,Bottom,270.0
C228,39.399998000000004mm,21.699997mm,Bottom,270.0
C216,30.999997999999998mm,21.699997mm,Bottom,270.0
C217,32.200098mm,21.699997mm,Bottom,270.0
C218,33.399998000000004mm,21.699997mm,Bottom,270.0
C219,34.600098mm,21.699997mm,Bottom,270.0
C212,26.200097999999997mm,21.699997mm,Bottom,270.0
C213,27.399998000000004mm,21.699997mm,Bottom,270.0
C214,28.600098000000003mm,21.699997mm,Bottom,270.0
C215,29.799998000000002mm,21.699997mm,Bottom,270.0
C204,16.599998mm,21.699997mm,Bottom,270.0
C205,17.800098mm,21.699997mm,Bottom,270.0
C206,18.999997999999998mm,21.699997mm,Bottom,270.0
C207,20.200098mm,21.699997mm,Bottom,270.0
C200,11.800098mm,21.699997mm,Bottom,270.0
C201,12.999998000000001mm,21.699997mm,Bottom,270.0
C202,14.200098mm,21.699997mm,Bottom,270.0
C203,15.399998mm,21.699997mm,Bottom,270.0
C195,23.450098mm,29.699997mm,Bottom,270.0
C190,37.949998mm,29.999997mm,Bottom,0.0
C185,16.349998mm,29.699997mm,Bottom,270.0
C180,32.149998000000004mm,29.999997mm,Bottom,0.0
C175,26.350098000000003mm,29.999997mm,Bottom,0.0
C170,43.750098mm,29.999997mm,Bottom,0.0
C142,50.099998mm,17.799997mm,Bottom,270.0
C141,48.899998000000004mm,17.799997mm,Bottom,270.0
C139,47.700098000000004mm,17.799997mm,Bottom,90.0
C135,46.499998000000005mm,17.799997mm,Bottom,270.0
C211,24.999997999999998mm,21.699997mm,Bottom,270.0
C210,23.800098mm,21.699997mm,Bottom,270.0
C209,22.599998mm,21.699997mm,Bottom,270.0
C208,21.400098mm,21.699997mm,Bottom,270.0
C147,24.800098mm,41.099997mm,Bottom,90.0
F101,13.749998000000001mm,54.449997mm,Bottom,180.0
R134,23.800098mm,47.024997mm,Bottom,0.0
R133,23.800098mm,48.199997mm,Bottom,0.0
C133,23.800098mm,45.849997mm,Bottom,180.0
R131,30.974998mm,33.124997mm,Bottom,180.0
U101,13.499998000000001mm,50.899997mm,Top,270.0
